Tiempo (min);Entrada;Salida
7,7;362,96414107476;365,8576529
7,72;362,96414107476;362,3048476
7,74;362,96414107476;363,0567876
7,76;362,96414107476;364,4456371
7,78;362,96414107476;364,6216391
7,8;362,96414107475;365,4805213
7,82;336,96124691629;334,9091938
7,84;336,96124691629;339,0792697
7,86;336,96124691629;336,6060281
7,88;336,96124691629;332,0772631
7,9;332,37727297228;332,6070672
7,92;332,37727297228;335,595485
7,94;332,37727297228;334,9316209
7,96;332,37727297228;334,1740021
7,98;332,37727297228;334,5823225
8;333,36053744868;334,2123598
8,02;333,36053744868;337,8699045
8,04;333,36053744868;337,9988159
8,06;333,36053744868;332,0188443
8,08;320,72145248149;318,9228834
8,1;320,72145248149;319,7574084
8,12;320,72145248149;319,7496485
8,14;320,72145248149;316,5408441
8,16;320,72145248149;320,646914
8,18;320,72145248149;322,1229509
8,2;338,91577898430;339,8258461
8,22;338,91577898430;344,3969753
8,24;338,91577898430;339,4980864
8,26;338,91577898430;339,4948223
8,28;338,91577898430;340,226811
8,3;339,11944077549;337,1972218
8,32;339,11944077549;341,3237156
8,34;339,11944077549;344,1690196
8,36;339,11944077549;342,6302708
8,38;339,11944077550;343,7123398
8,4;366,73649374900;367,3440903
8,42;366,73649374900;363,2940569
8,44;366,73649374900;361,4928928
8,46;366,73649374900;368,6536159
8,48;366,73649374900;369,1679515
8,5;364,68482751951;363,7688583
8,52;364,68482751951;365,7559093
8,54;364,68482751951;361,99773
8,56;364,68482751951;363,4000817
8,58;364,68482751951;369,3984722
8,6;364,68482751951;367,5352652
8,62;351,13863171743;348,3804483
8,64;351,13863171743;352,4485308
8,66;351,13863171743;344,7799978
8,68;351,13863171743;352,5684222
8,7;351,13863171743;352,9035415
8,72;327,22484443942;324,4121209
8,74;327,22484443942;322,3619992
8,76;327,22484443942;331,3432297
8,78;327,22484443942;332,510442
8,8;327,22484443942;327,24736
8,82;327,22484443942;325,9793196
8,84;366,19224124542;362,5191558
8,86;366,19224124542;368,204863
8,88;366,19224124542;365,5201472
8,9;366,19224124542;362,179157
8,92;341,10430299195;340,1277278
8,94;341,10430299195;343,7996695
8,96;341,10430299195;340,7874471
8,98;341,10430299195;342,2927947
9;341,10430299195;338,9598668
9,02;341,10430299195;340,1714657
9,04;324,71543932192;328,0344194
9,06;324,71543932192;324,9043243
9,08;324,71543932192;327,208176
9,1;324,71543932192;327,3330261
9,12;324,71543932192;325,4513649
9,14;324,71543932192;327,8518409
9,16;377,66014057999;379,4876407
9,18;377,66014057999;375,0023413
9,2;377,66014057999;381,6612105
9,22;377,66014057999;376,234325
9,24;371,98485303437;366,1456169
9,26;371,98485303437;374,5874331
9,28;371,98485303437;370,0518469
9,3;371,98485303437;377,4297822
9,32;371,98485303437;367,8574236
9,34;371,98485303437;366,3453911
9,36;342,66407086086;340,7047347
9,38;342,66407086086;341,0815365
9,4;342,66407086086;343,2530936
9,42;342,66407086086;345,7371445
9,44;349,17275774011;352,6318168
9,46;349,17275774011;346,6859121
9,48;349,17275774011;349,1217509
9,5;349,17275774011;347,2814819
9,52;345,98402340783;349,4858785
9,54;345,98402340783;350,1643377
9,56;345,98402340783;347,9481476
9,58;345,98402340783;341,5995642
9,6;345,98402340783;345,8325006
9,62;311,84680634597;315,3510849
9,64;311,84680634597;312,6227769
9,66;311,84680634597;312,072374
9,68;311,84680634597;312,7330114
9,7;311,84680634597;316,4024281
9,72;311,84680634597;313,0831045
9,74;320,26216972515;316,078797
9,76;320,26216972515;315,0967157
9,78;320,26216972515;319,9142734
9,8;320,26216972515;323,8480911
9,82;320,26216972515;322,3775929
9,84;320,26216972515;320,9791561
9,86;335,53310136658;332,9550392
9,88;335,53310136658;337,9732605
9,9;335,53310136658;334,0599689
9,92;335,53310136658;332,9828848
9,94;313,89393441904;314,0905069
9,96;313,89393441904;312,2121106
9,98;313,89393441904;313,517568
10;313,89393441904;318,3442405
10,02;313,89393441904;311,7468634
10,04;369,13779134259;364,9468004
10,06;369,13779134259;367,1294309
10,08;369,13779134259;370,0447345
10,1;369,13779134259;375,7359358
10,12;369,13779134259;371,7537117
10,14;310,67878606103;310,9896012
10,16;310,67878606103;312,6448315
10,18;310,67878606103;313,7526112
10,2;310,67878606103;312,6733152
10,22;310,67878606103;308,3561005
10,24;313,48296028752;319,3333508
10,26;313,48296028752;310,3928055
